,CPT_CODE_OR_OTHER,Top_25_Avg,OSHPD_NUM,Hospital_Name
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar w/o imaging guidance",62322,"8,404",106010739,Alta Bates Ashby Campus
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar w imaging guidance",62323,,106010739,Alta Bates Ashby Campus
"Injection, Anesthetic or Steroid, transforaminal epidural, sacral",64483,,106010739,Alta Bates Ashby Campus
Laparoscopic Cholecystectomy,47562,"33,976",106010739,Alta Bates Ashby Campus
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106010739,Alta Bates Ashby Campus
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106010739,Alta Bates Ashby Campus
"Emergency Room Visit, Level 2",99282,,106010844,Alta Bates Herrick Campus
"Emergency Room Visit, Level 3",99283,,106010844,Alta Bates Herrick Campus
"Emergency Room Visit, Level 4",99284,,106010844,Alta Bates Herrick Campus
Laboratory & Pathology Services (CPT Codes 80048-89356),2019 CPT Code,,106010844,Alta Bates Herrick Campus
Basic Metabolic Panel,80048,170,106010844,Alta Bates Herrick Campus
Comprehensive Metabolic Panel,80053,198,106010844,Alta Bates Herrick Campus
Lipid Panel,80061,224,106010844,Alta Bates Herrick Campus
"Creatine Kinase (CK), (CPK), Total",82550,130,106010844,Alta Bates Herrick Campus
"Blood Gas Analysis, including 02 saturation",82805,818,106010844,Alta Bates Herrick Campus
Thyroid Stimulating Hormone,84443,185,106010844,Alta Bates Herrick Campus
"Troponin, Quantitative",84484,381,106010844,Alta Bates Herrick Campus
"Complete Blood Count, with differential WBC, automated",85025,122,106010844,Alta Bates Herrick Campus
"Complete Blood Count, automated",85027,136,106010844,Alta Bates Herrick Campus
Prothrombin Time,85610,77,106010844,Alta Bates Herrick Campus
Partial Thromboplastin Time,85730,180,106010844,Alta Bates Herrick Campus
Uric acid; blood,84550,67,106010844,Alta Bates Herrick Campus
Magnesium,83735,119,106010844,Alta Bates Herrick Campus
"Lactate dehydrogenase (LD), (LDH)",83615,102,106010844,Alta Bates Herrick Campus
Iron binding capacity,83550,123,106010844,Alta Bates Herrick Campus
Iron,83540,87,106010844,Alta Bates Herrick Campus
Hemoglobin; glycosylated (A1C),83036,123,106010844,Alta Bates Herrick Campus
"Glucose; quantitative, blood (except reagent strip)",82947,61,106010844,Alta Bates Herrick Campus
Folic acid; serum,82746,148,106010844,Alta Bates Herrick Campus
Ferritin,82728,144,106010844,Alta Bates Herrick Campus
Cyanocobalamin (Vitamin B-12),82607,151,106010844,Alta Bates Herrick Campus
Creatinine; blood,82565,78,106010844,Alta Bates Herrick Campus
Amylase,82150,144,106010844,Alta Bates Herrick Campus
Autom Urine Dip W Micro,81001,66,106010844,Alta Bates Herrick Campus
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,,106010844,Alta Bates Herrick Campus
"CT Scan, Head or Brain, without contrast",70450,,106010844,Alta Bates Herrick Campus
"X-Ray, Chest, two views",71046,,106010844,Alta Bates Herrick Campus
"X-Ray, Lumbo Sacral, four views",72110,,106010844,Alta Bates Herrick Campus
"Screening mammography, bilateral (CAD) when performed",77067,,106010844,Alta Bates Herrick Campus
"CT Scan, Pelvis, with contrast",72193,,106010844,Alta Bates Herrick Campus
"CT Scan, Abdomen, with contrast",74160,,106010844,Alta Bates Herrick Campus
"Ultrasound, Abdomen, Complete",76700,,106010844,Alta Bates Herrick Campus
"Ultrasound, OB, 14 weeks or more, single fetus, transabdominal",76805,,106010844,Alta Bates Herrick Campus
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,,106010844,Alta Bates Herrick Campus
Electrocardiogram 12 Lead Tracing Only,93005,261,106010844,Alta Bates Herrick Campus
"Echocardiography, complete",93307,"2,396",106010844,Alta Bates Herrick Campus
"Inhalation Treatment, pressurized or nonpressurized",94640,418,106010844,Alta Bates Herrick Campus
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,,106010844,Alta Bates Herrick Campus
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"27,063",106010844,Alta Bates Herrick Campus
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106010844,Alta Bates Herrick Campus
Carpal Tunnel Surgery,64721,,106010844,Alta Bates Herrick Campus
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"18,225",106010844,Alta Bates Herrick Campus
"Colonoscopy, diagnostic",45378,"4,487",106010844,Alta Bates Herrick Campus
"Colonoscopy, with biopsy",45380,"6,216",106010844,Alta Bates Herrick Campus
"Colonoscopy, with lesion removal, by snare technique",45385,"6,331",106010844,Alta Bates Herrick Campus
"Discission, secondary membranous cataract, laser surgery",66821,,106010844,Alta Bates Herrick Campus
"Endoscopy, Upper GI, with biopsy",43239,"6,989",106010844,Alta Bates Herrick Campus
"Endoscopy, Upper GI, diagnostic",43235,"5,115",106010844,Alta Bates Herrick Campus
"Excision, Breast Lesion",19120,"18,718",106010844,Alta Bates Herrick Campus
"Hernia Repair, Inguinal, 5 years and older",49505,"26,316",106010844,Alta Bates Herrick Campus
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar w/o imaging guidance",62322,"8,404",106010844,Alta Bates Herrick Campus
,,,106010844,Alta Bates Herrick Campus
"Injection, Anesthetic or Steroid, transforaminal epidural, sacral",64483,"7,685",106010844,Alta Bates Herrick Campus
Laparoscopic Cholecystectomy,47562,"33,976",106010844,Alta Bates Herrick Campus
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106010844,Alta Bates Herrick Campus
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,,106010844,Alta Bates Herrick Campus
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,152.00",106010776,Children's Hospital & Research Center at Oakland
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$2,592.00",106010776,Children's Hospital & Research Center at Oakland
"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,"$4,320.00",106010776,Children's Hospital & Research Center at Oakland
"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,"$5,292.00",106010776,Children's Hospital & Research Center at Oakland
"Outpatient Visit, established patient, 15 minutes",99213,$270.00,106010776,Children's Hospital & Research Center at Oakland
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106010776,Children's Hospital & Research Center at Oakland
Basic Metabolic Panel,80048,$372.00,106010776,Children's Hospital & Research Center at Oakland
"Blood Gas Analysis, including 02 saturation",82805,$675.00,106010776,Children's Hospital & Research Center at Oakland
"Complete Blood Count, automated",85027,$372.00,106010776,Children's Hospital & Research Center at Oakland
"Complete Blood Count, with differential WBC, automated",85025,$298.00,106010776,Children's Hospital & Research Center at Oakland
Comprehensive Metabolic Panel,80053,$486.00,106010776,Children's Hospital & Research Center at Oakland
"Creatine Kinase (CK), (CPK), Total",82550,$270.00,106010776,Children's Hospital & Research Center at Oakland
Lipid Panel,80061,$126.00,106010776,Children's Hospital & Research Center at Oakland
Partial Thromboplastin Time,85730,$244.00,106010776,Children's Hospital & Research Center at Oakland
Prothrombin Time,85610,$219.00,106010776,Children's Hospital & Research Center at Oakland
Thyroid Stimulating Hormone,84443,$405.00,106010776,Children's Hospital & Research Center at Oakland
"Troponin, Quantitative",84484,$350.00,106010776,Children's Hospital & Research Center at Oakland
"Urinalysis, without microscopy",81002 or 81003,$108.00,106010776,Children's Hospital & Research Center at Oakland
"Urinalysis, with microscopy",81000 or 81001,$165.00,106010776,Children's Hospital & Research Center at Oakland
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106010776,Children's Hospital & Research Center at Oakland
"CT Scan, Abdomen, with contrast",74160,"$4,300.00",106010776,Children's Hospital & Research Center at Oakland
"CT Scan, Head or Brain, without contrast",70450,"$4,004.00",106010776,Children's Hospital & Research Center at Oakland
"CT Scan, Pelvis, with contrast",72193,"$4,467.00",106010776,Children's Hospital & Research Center at Oakland
"Mammography, Screening, Bilateral",77067,,106010776,Children's Hospital & Research Center at Oakland
"MRI, Brain, without contrast, followed by contrast",70553,"$7,889.00",106010776,Children's Hospital & Research Center at Oakland
"Ultrasound, Abdomen, Complete",76700,"$2,467.00",106010776,Children's Hospital & Research Center at Oakland
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,,106010776,Children's Hospital & Research Center at Oakland
"X-Ray, Lower Back, minimum four views",72110,"$1,080.00",106010776,Children's Hospital & Research Center at Oakland
"X-Ray, Chest, two views",71046,$723.00,106010776,Children's Hospital & Research Center at Oakland
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106010776,Children's Hospital & Research Center at Oakland
"Cardiac Catheterization, Left Heart, percutaneous ",93452,,106010776,Children's Hospital & Research Center at Oakland
"Echocardiography, Transthoracic, complete, without Doppler",93307,"$2,007.00",106010776,Children's Hospital & Research Center at Oakland
"Electrocardiogram, routine, with interpretation and report",93000,$589.00,106010776,Children's Hospital & Research Center at Oakland
"Inhalation Treatment, pressurized or nonpressurized",94640,$278.00,106010776,Children's Hospital & Research Center at Oakland
"Physical Therapy, Evaluation",97161-97163,$552.00,106010776,Children's Hospital & Research Center at Oakland
"Physical Therapy, Gait Training",97116,$216.00,106010776,Children's Hospital & Research Center at Oakland
"Physical Therapy, Therapeutic Exercise",97110,$151.00,106010776,Children's Hospital & Research Center at Oakland
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106010776,Children's Hospital & Research Center at Oakland
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,,106010776,Children's Hospital & Research Center at Oakland
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106010776,Children's Hospital & Research Center at Oakland
Carpal Tunnel Surgery,64721,,106010776,Children's Hospital & Research Center at Oakland
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106010776,Children's Hospital & Research Center at Oakland
"Colonoscopy, diagnostic",45378,,106010776,Children's Hospital & Research Center at Oakland
"Colonoscopy, with biopsy",45380,,106010776,Children's Hospital & Research Center at Oakland
"Colonoscopy, with lesion removal, by snare technique",45385,,106010776,Children's Hospital & Research Center at Oakland
"Discission, secondary membranous cataract, laser surgery",66821,,106010776,Children's Hospital & Research Center at Oakland
"Endoscopy, Upper GI, with biopsy",43239,,106010776,Children's Hospital & Research Center at Oakland
"Endoscopy, Upper GI, diagnostic",43235,,106010776,Children's Hospital & Research Center at Oakland
"Excision, Breast Lesion, without preoperative radiological marker",19120,,106010776,Children's Hospital & Research Center at Oakland
"Hernia Repair, Inguinal, 5 years and older",49505,,106010776,Children's Hospital & Research Center at Oakland
"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322-62323,"$1,957.00",106010776,Children's Hospital & Research Center at Oakland
"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,,106010776,Children's Hospital & Research Center at Oakland
Laparoscopic Cholecystectomy,47562,,106010776,Children's Hospital & Research Center at Oakland
"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,,106010776,Children's Hospital & Research Center at Oakland
"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,"$1,215.00",106010776,Children's Hospital & Research Center at Oakland
"Emergency Room Visit, Level 2 (low to moderate severity)",99282,"$1,074.14",106010846,Highland Hospital
"Emergency Room Visit, Level 3 (moderate severity)",99283,"$1,813.47",106010846,Highland Hospital
"Emergency Room Visit, Level 4 (high severity)",99284,"$3,415.59",106010846,Highland Hospital
"Outpatient Visit, established patient, 15 minutes",99213,$66.15,106010846,Highland Hospital
Laboratory & Pathology Services (CPT Codes 80047-89398),2019 CPT Code,Average Charge,106010846,Highland Hospital
Basic Metabolic Panel,80048,$430.35,106010846,Highland Hospital
Blood Gasses Any Combination,82803,$439.55,106010846,Highland Hospital
"Complete Blood Count, automated",85027,$166.62,106010846,Highland Hospital
"Complete Blood Count, with differential WBC, automated",85025,$229.19,106010846,Highland Hospital
Comprehensive Metabolic Panel,80053,$558.73,106010846,Highland Hospital
"Creatine Kinase (CK), (CPK), Total",82550,$175.75,106010846,Highland Hospital
Lipid Panel,80061,$304.29,106010846,Highland Hospital
Partial Thromboplastin Time,85730,$158.45,106010846,Highland Hospital
Prothrombin Time,85610,$148.19,106010846,Highland Hospital
  Thyroid Stimulating Hormone,84443,$321.44,106010846,Highland Hospital
"  Troponin, Quantitative",84484,$246.04,106010846,Highland Hospital
"  Urinalysis, without microscopy",81002 or 81003,$99.50,106010846,Highland Hospital
"  Urinalysis, with microscopy",81000 or 81001,$176.29,106010846,Highland Hospital
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,Average Charge,106010846,Highland Hospital
"  CT Scan, Abdomen, with contrast",74160,"$3,282.52",106010846,Highland Hospital
"  CT Scan, Head or Brain, without contrast",70450,"$3,252.67",106010846,Highland Hospital
"  CT Scan, Pelvis, with contrast",72193,"$3,648.01",106010846,Highland Hospital
"  Mammography, Screening, Bilateral",77067,$397.00,106010846,Highland Hospital
"  MRI, Head or Brain, without contrast, followed by contrast",70553,"$5,567.57",106010846,Highland Hospital
"  Ultrasound, Abdomen, Complete",76700,"$1,355.42",106010846,Highland Hospital
"Ultrasound, OB, 14 weeks or more, transabdominal",76805,"$1,724.89",106010846,Highland Hospital
"  X-Ray, Lower Back, four views",72110,$748.33,106010846,Highland Hospital
"  X-Ray, Chest, two views",71046,$499.12,106010846,Highland Hospital
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,Average Charge,106010846,Highland Hospital
"Cardiac Catheterization, Left Heart, percutaneous ",93452,"$26,579.50",106010846,Highland Hospital
TTE w/Doppler Complete,93306,"$5,732.18",106010846,Highland Hospital
PRQ Revasc Bypass Graft Single Vessel,92937,"$34,328.00",106010846,Highland Hospital
"Inhalation Treatment, pressurized or nonpressurized",94640,$586.22,106010846,Highland Hospital
"Physical Therapy, Evaluation",97161,$287.05,106010846,Highland Hospital
"Physical Therapy, Gait Training",97116,$182.82,106010846,Highland Hospital
"Physical Therapy, Therapeutic Exercise",97110,$447.61,106010846,Highland Hospital
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge,106010846,Highland Hospital
Rmvl & Rrplc Pulse Gen 1 Lead,33262,"$47,018.00",106010846,Highland Hospital
Carpal Tunnel Surgery,64721,"$3,919.24",106010846,Highland Hospital
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,"$4,073.24",106010846,Highland Hospital
"Colonoscopy, diagnostic",45378,"$4,329.81",106010846,Highland Hospital
"Colonoscopy, with biopsy",45380,"$4,177.98",106010846,Highland Hospital
"Colonoscopy, with lesion removal, by snare technique",45385,"$4,964.45",106010846,Highland Hospital
"Discission, secondary membranous cataract, laser surgery",66821,$824.87,106010846,Highland Hospital
"Endoscopy, Upper GI, with biopsy",43239,"$4,579.26",106010846,Highland Hospital
"Endoscopy, Upper GI, diagnostic",43235,"$3,312.47",106010846,Highland Hospital
Clsd Tx Calcaneal Fx W/O Manip,28400,"$35,105.00",106010846,Highland Hospital
"Hernia Repair, Inguinal, 5 years and older",49505,"$5,596.53",106010846,Highland Hospital
Remove Intravascular Foreign Body,37197,"$29,894.00",106010846,Highland Hospital
Embolization (NON-CNS) Body Arterial,37242,"$29,443.00",106010846,Highland Hospital
Laparoscopic Cholecystectomy,47562,"$7,395.50",106010846,Highland Hospital
  Fetal Non-Stress Test,59025,$321.81,106010846,Highland Hospital
  Drainage of Skin Abscess,10060,$682.95,106010846,Highland Hospital
  Apply Forearm Splint,29125,$351.62,106010846,Highland Hospital
"Emergency Room Visit, Level 2",99282,"1,077",106010937,Summit Medical Center Merritt Campus
"Emergency Room Visit, Level 3",99283,"2,060",106010937,Summit Medical Center Merritt Campus
"Emergency Room Visit, Level 4",99284,"3,490",106010937,Summit Medical Center Merritt Campus
Laboratory & Pathology Services (CPT Codes 80048-89356),2019 CPT Code,,106010937,Summit Medical Center Merritt Campus
Basic Metabolic Panel,80048,170,106010937,Summit Medical Center Merritt Campus
Comprehensive Metabolic Panel,80053,198,106010937,Summit Medical Center Merritt Campus
Lipid Panel,80061,224,106010937,Summit Medical Center Merritt Campus
"Creatine Kinase (CK), (CPK), Total",82550,130,106010937,Summit Medical Center Merritt Campus
"Blood Gas Analysis, including 02 saturation",82805,818,106010937,Summit Medical Center Merritt Campus
Thyroid Stimulating Hormone,84443,185,106010937,Summit Medical Center Merritt Campus
"Troponin, Quantitative",84484,381,106010937,Summit Medical Center Merritt Campus
"Complete Blood Count, with differential WBC, automated",85025,122,106010937,Summit Medical Center Merritt Campus
"Complete Blood Count, automated",85027,136,106010937,Summit Medical Center Merritt Campus
Prothrombin Time,85610,77,106010937,Summit Medical Center Merritt Campus
Partial Thromboplastin Time,85730,180,106010937,Summit Medical Center Merritt Campus
Radiology Services  (CPT Codes 70010-79999),2019 CPT Code,,106010937,Summit Medical Center Merritt Campus
"CT Scan, Head or Brain, without contrast",70450,"3,294",106010937,Summit Medical Center Merritt Campus
"X-Ray, Chest, two views",71046,511,106010937,Summit Medical Center Merritt Campus
"X-Ray, Lumbo Sacral, four views",72110,858,106010937,Summit Medical Center Merritt Campus
"Screening mammography, bilateral (CAD) when performed",77067,475,106010937,Summit Medical Center Merritt Campus
"CT Scan, Pelvis, with contrast",72193,"3,723",106010937,Summit Medical Center Merritt Campus
"CT Scan, Abdomen, with contrast",74160,"3,595",106010937,Summit Medical Center Merritt Campus
"Ultrasound, Abdomen, Complete",76700,"1,312",106010937,Summit Medical Center Merritt Campus
"Ultrasound, OB, 14 weeks or more, single fetus, transabdominal",76805,"1,299",106010937,Summit Medical Center Merritt Campus
"Radiologic examination, chest; single view, frontal",71010,,106010937,Summit Medical Center Merritt Campus
"Radiologic examination, spine; thoracic, 2 views",72070,,106010937,Summit Medical Center Merritt Campus
"Radiologic examination, hip, unilateral; complete, minimum of 2 views",73510,,106010937,Summit Medical Center Merritt Campus
"Radiologic examination, foot; complete, minimum of 3 views",73630,,106010937,Summit Medical Center Merritt Campus
"Radiologic examination, abdomen; single anteroposterior view",74000,,106010937,Summit Medical Center Merritt Campus
Medicine Services  (CPT Codes 90281-99607),2019 CPT Code,,106010937,Summit Medical Center Merritt Campus
Electrocardiogram 12 Lead Tracing Only,93005,261,106010937,Summit Medical Center Merritt Campus
"Echocardiography, complete",93307,"2,396",106010937,Summit Medical Center Merritt Campus
"Inhalation Treatment, pressurized or nonpressurized",94640,418,106010937,Summit Medical Center Merritt Campus
Surgery Services  (CPT Codes 10021-69990),2019 CPT Code,Average Charge Amount,106010937,Summit Medical Center Merritt Campus
"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,"30,893",106010937,Summit Medical Center Merritt Campus
"Arthroscopy, Shoulder, with partial acromioplasty",29826,,106010937,Summit Medical Center Merritt Campus
Carpal Tunnel Surgery,64721,,106010937,Summit Medical Center Merritt Campus
"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,,106010937,Summit Medical Center Merritt Campus
